KO	FunkFam	CS	Pathway	Description	KODescription	KOCount	FunkFamCount
K02690	5_25579	Low	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	334
K02691	5_25579	Low	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	334
K02691	5_25579	Low	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	334
K02692	5_25579	High	map00195	Photosynthesis	psaD; photosystem I subunit II	401	334
K02692	5_25579	High	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	334
K02693	5_25579	Low	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	334
K02693	5_25579	Low	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	334
K02699	5_25579	High	map00195	Photosynthesis	psaL; photosystem I subunit XI	400	334
K02704	5_25579	Low	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	334
K02704	5_25579	Low	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	334
K02705	5_25579	Low	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	334
K02705	5_25579	Low	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	334
K02706	5_25579	Low	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	334
K02706	5_25579	Low	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	334
K02707	5_25579	Low	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	334
K02707	5_25579	Low	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	334
K02709	5_25579	Low	map00195	Photosynthesis	psbH; photosystem II PsbH protein	389	334
K02716	5_25579	Low	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	334
K02717	5_25579	High	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	334
K02724	5_25579	Low	map00195	Photosynthesis	psbZ; photosystem II PsbZ protein	376	334
K05382	5_25579	Low	map00196	Photosynthesis - antenna proteins	cpeS; phycoerythrin-associated linker protein	395	334
K05382	5_25579	Low	map01100	Metabolic pathways	cpeS; phycoerythrin-associated linker protein	395	334
K08903	5_25579	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	334
K11179	5_26449	Low	map04122	Sulfur relay system	tusE, dsrC; tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]	4541	249
K02092	5_26510	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	331
K02092	5_26510	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	331
K02093	5_26510	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	331
K02093	5_26510	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	331
K02095	5_26510	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	331
K02095	5_26510	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	331
K02096	5_26510	High	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	331
K02096	5_26510	High	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	331
K02097	5_26510	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	331
K02097	5_26510	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	331
K02284	5_26510	High	map00196	Photosynthesis - antenna proteins	cpcA; phycocyanin alpha chain	343	331
K02284	5_26510	High	map01100	Metabolic pathways	cpcA; phycocyanin alpha chain	343	331
K02286	5_26510	Low	map00196	Photosynthesis - antenna proteins	cpcC; phycocyanin-associated rod linker protein	337	331
K02286	5_26510	Low	map01100	Metabolic pathways	cpcC; phycocyanin-associated rod linker protein	337	331
K02628	5_26510	High	map00196	Photosynthesis - antenna proteins	pecA; phycoerythrocyanin alpha chain	332	331
K02628	5_26510	High	map01100	Metabolic pathways	pecA; phycoerythrocyanin alpha chain	332	331
K02629	5_26510	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	331
K02629	5_26510	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	331
K02630	5_26510	High	map00196	Photosynthesis - antenna proteins	pecC; phycoerythrocyanin-associated rod linker protein	309	331
K02630	5_26510	High	map01100	Metabolic pathways	pecC; phycoerythrocyanin-associated rod linker protein	309	331
K02643	5_26510	Low	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	331
K02643	5_26510	Low	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	331
K02691	5_26510	Low	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	331
K02691	5_26510	Low	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	331
K02693	5_26510	Low	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	331
K02693	5_26510	Low	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	331
K02707	5_26510	Low	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	331
K02707	5_26510	Low	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	331
K02708	5_26510	Low	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	331
K02708	5_26510	Low	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	331
K02713	5_26510	High	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	331
K02720	5_26510	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	331
K05378	5_26510	Low	map00196	Photosynthesis - antenna proteins	cpeC, mpeC; phycoerythrin-associated linker protein	344	331
K05378	5_26510	Low	map01100	Metabolic pathways	cpeC, mpeC; phycoerythrin-associated linker protein	344	331
K08903	5_26510	Low	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	331
K02093	5_27203	Low	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	265
K02093	5_27203	Low	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	265
K02097	5_27203	Low	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	265
K02097	5_27203	Low	map01100	Metabolic pathways	apcF; phycobilisome core component	334	265
K11522	5_27203	Low	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	265
K02092	5_28675	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	349
K02092	5_28675	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	349
K02093	5_28675	Low	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	349
K02093	5_28675	Low	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	349
K02094	5_28675	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	349
K02094	5_28675	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	349
K02095	5_28675	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	349
K02095	5_28675	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	349
K02096	5_28675	High	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	349
K02096	5_28675	High	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	349
K02097	5_28675	Low	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	349
K02097	5_28675	Low	map01100	Metabolic pathways	apcF; phycobilisome core component	334	349
K02629	5_28675	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	349
K02629	5_28675	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	349
K02713	5_28675	Low	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	349
K02092	5_28978	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	308
K02092	5_28978	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	308
K02093	5_28978	Low	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	308
K02093	5_28978	Low	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	308
K02095	5_28978	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	308
K02095	5_28978	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	308
K02097	5_28978	Low	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	308
K02097	5_28978	Low	map01100	Metabolic pathways	apcF; phycobilisome core component	334	308
K02692	5_28978	Low	map00195	Photosynthesis	psaD; photosystem I subunit II	401	308
K02692	5_28978	Low	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	308
K02720	5_28978	High	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	308
K08902	5_28978	Low	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	308
K08903	5_28978	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	308
K02719	5_29588	Low	map00195	Photosynthesis	psbU; photosystem II PsbU protein	337	255
K11522	5_29588	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	255
K11526	5_29588	High	map02020	Two-component system	pixL; two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL	217	255
K02092	5_29679	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	298
K02092	5_29679	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	298
K02093	5_29679	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	298
K02093	5_29679	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	298
K02094	5_29679	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	298
K02094	5_29679	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	298
K02095	5_29679	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	298
K02095	5_29679	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	298
K02097	5_29679	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	298
K02097	5_29679	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	298
K02284	5_29679	Low	map00196	Photosynthesis - antenna proteins	cpcA; phycocyanin alpha chain	343	298
K02284	5_29679	Low	map01100	Metabolic pathways	cpcA; phycocyanin alpha chain	343	298
K02628	5_29679	Low	map00196	Photosynthesis - antenna proteins	pecA; phycoerythrocyanin alpha chain	332	298
K02628	5_29679	Low	map01100	Metabolic pathways	pecA; phycoerythrocyanin alpha chain	332	298
K02629	5_29679	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	298
K02629	5_29679	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	298
K02630	5_29679	High	map00196	Photosynthesis - antenna proteins	pecC; phycoerythrocyanin-associated rod linker protein	309	298
K02630	5_29679	High	map01100	Metabolic pathways	pecC; phycoerythrocyanin-associated rod linker protein	309	298
K02704	5_29679	High	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	298
K02704	5_29679	High	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	298
K02707	5_29679	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	298
K02707	5_29679	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	298
K02716	5_29679	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	298
K02717	5_29679	High	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	298
K05378	5_29679	Low	map00196	Photosynthesis - antenna proteins	cpeC, mpeC; phycoerythrin-associated linker protein	344	298
K05378	5_29679	Low	map01100	Metabolic pathways	cpeC, mpeC; phycoerythrin-associated linker protein	344	298
K08903	5_29679	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	298
K02285	5_29685	Low	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	354
K02285	5_29685	Low	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	354
K02634	5_29685	High	map00195	Photosynthesis	petA; apocytochrome f	402	354
K02634	5_29685	High	map01100	Metabolic pathways	petA; apocytochrome f	402	354
K02689	5_29685	Low	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	354
K02689	5_29685	Low	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	354
K02691	5_29685	High	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	354
K02691	5_29685	High	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	354
K02693	5_29685	High	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	354
K02693	5_29685	High	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	354
K02694	5_29685	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	354
K02694	5_29685	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	354
K02697	5_29685	Low	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	354
K02704	5_29685	High	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	354
K02704	5_29685	High	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	354
K02705	5_29685	Low	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	354
K02705	5_29685	Low	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	354
K02707	5_29685	Low	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	354
K02707	5_29685	Low	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	354
K02708	5_29685	Low	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	354
K02708	5_29685	Low	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	354
K02709	5_29685	Low	map00195	Photosynthesis	psbH; photosystem II PsbH protein	389	354
K02711	5_29685	Low	map00195	Photosynthesis	psbJ; photosystem II PsbJ protein	265	354
K02712	5_29685	Low	map00195	Photosynthesis	psbK; photosystem II PsbK protein	348	354
K02716	5_29685	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	354
K05382	5_29685	Low	map00196	Photosynthesis - antenna proteins	cpeS; phycoerythrin-associated linker protein	395	354
K05382	5_29685	Low	map01100	Metabolic pathways	cpeS; phycoerythrin-associated linker protein	395	354
K08902	5_29685	High	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	354
K08903	5_29685	Low	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	354
K02096	5_29963	Low	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	386
K02096	5_29963	Low	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	386
K02285	5_29963	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	386
K02285	5_29963	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	386
K02634	5_29963	Low	map00195	Photosynthesis	petA; apocytochrome f	402	386
K02634	5_29963	Low	map01100	Metabolic pathways	petA; apocytochrome f	402	386
K02643	5_29963	High	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	386
K02643	5_29963	High	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	386
K02689	5_29963	High	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	386
K02689	5_29963	High	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	386
K02691	5_29963	Low	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	386
K02691	5_29963	Low	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	386
K02692	5_29963	Low	map00195	Photosynthesis	psaD; photosystem I subunit II	401	386
K02692	5_29963	Low	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	386
K02693	5_29963	High	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	386
K02693	5_29963	High	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	386
K02694	5_29963	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	386
K02694	5_29963	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	386
K02696	5_29963	High	map00195	Photosynthesis	psaI; photosystem I subunit VIII	305	386
K02697	5_29963	High	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	386
K02704	5_29963	High	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	386
K02704	5_29963	High	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	386
K02705	5_29963	High	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	386
K02705	5_29963	High	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	386
K02706	5_29963	High	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	386
K02706	5_29963	High	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	386
K02707	5_29963	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	386
K02707	5_29963	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	386
K02708	5_29963	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	386
K02708	5_29963	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	386
K02709	5_29963	High	map00195	Photosynthesis	psbH; photosystem II PsbH protein	389	386
K02712	5_29963	High	map00195	Photosynthesis	psbK; photosystem II PsbK protein	348	386
K02713	5_29963	Low	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	386
K02714	5_29963	Low	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	386
K02716	5_29963	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	386
K02717	5_29963	High	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	386
K02718	5_29963	Low	map00195	Photosynthesis	psbT; photosystem II PsbT protein	310	386
K02723	5_29963	High	map00195	Photosynthesis	psbY; photosystem II PsbY protein	332	386
K05377	5_29963	Low	map00196	Photosynthesis - antenna proteins	cpeB, mpeB; phycoerythrin beta chain	208	386
K05377	5_29963	Low	map01100	Metabolic pathways	cpeB, mpeB; phycoerythrin beta chain	208	386
K05583	5_29963	High	map00190	Oxidative phosphorylation	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	386
K05583	5_29963	High	map01100	Metabolic pathways	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	386
K05584	5_29963	High	map00190	Oxidative phosphorylation	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	386
K05584	5_29963	High	map01100	Metabolic pathways	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	386
K08902	5_29963	High	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	386
K08903	5_29963	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	386
K02285	5_30209	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	338
K02285	5_30209	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	338
K02689	5_30209	High	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	338
K02689	5_30209	High	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	338
K02690	5_30209	Low	map00195	Photosynthesis	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	338
K02690	5_30209	Low	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	338
K02691	5_30209	High	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	338
K02691	5_30209	High	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	338
K02692	5_30209	High	map00195	Photosynthesis	psaD; photosystem I subunit II	401	338
K02692	5_30209	High	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	338
K02693	5_30209	High	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	338
K02693	5_30209	High	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	338
K02694	5_30209	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	338
K02694	5_30209	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	338
K02698	5_30209	High	map00195	Photosynthesis	psaK; photosystem I subunit X	402	338
K02699	5_30209	Low	map00195	Photosynthesis	psaL; photosystem I subunit XI	400	338
K02704	5_30209	High	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	338
K02704	5_30209	High	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	338
K02705	5_30209	High	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	338
K02705	5_30209	High	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	338
K02707	5_30209	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	338
K02707	5_30209	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	338
K02712	5_30209	Low	map00195	Photosynthesis	psbK; photosystem II PsbK protein	348	338
K02716	5_30209	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	338
K02717	5_30209	Low	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	338
K05382	5_30209	High	map00196	Photosynthesis - antenna proteins	cpeS; phycoerythrin-associated linker protein	395	338
K05382	5_30209	High	map01100	Metabolic pathways	cpeS; phycoerythrin-associated linker protein	395	338
K05584	5_30209	High	map00190	Oxidative phosphorylation	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	338
K05584	5_30209	High	map01100	Metabolic pathways	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	338
K05585	5_30209	Low	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	338
K05585	5_30209	Low	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	338
K08902	5_30209	High	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	338
K08903	5_30209	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	338
K00643	5_30298	Low	map00260	Glycine, serine and threonine metabolism	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	349
K00643	5_30298	Low	map00860	Porphyrin and chlorophyll metabolism	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	349
K00643	5_30298	Low	map01100	Metabolic pathways	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	349
K00643	5_30298	Low	map01110	Biosynthesis of secondary metabolites	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	3293	349
K01458	5_30298	Low	map00340	Histidine metabolism	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	349
K01458	5_30298	Low	map00630	Glyoxylate and dicarboxylate metabolism	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	349
K01458	5_30298	Low	map01100	Metabolic pathways	hutG; N-formylglutamate deformylase [EC:3.5.1.68]	4997	349
K03205	5_30298	Low	map03070	Bacterial secretion system	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]	5455	349
K09882	5_30298	Low	map00860	Porphyrin and chlorophyll metabolism	cobS; cobaltochelatase CobS [EC:6.6.1.2]	3685	349
K09882	5_30298	Low	map01100	Metabolic pathways	cobS; cobaltochelatase CobS [EC:6.6.1.2]	3685	349
K13581	5_30298	Low	map04112	Cell cycle - Caulobacter	ccrM; modification methylase [EC:2.1.1.72]	4959	349
K13584	5_30298	Low	map02020	Two-component system	ctrA; two-component system, cell cycle response regulator CtrA	4037	349
K13584	5_30298	Low	map04112	Cell cycle - Caulobacter	ctrA; two-component system, cell cycle response regulator CtrA	4037	349
K13587	5_30298	Low	map02020	Two-component system	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	5194	349
K13587	5_30298	Low	map04112	Cell cycle - Caulobacter	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	5194	349
K18649	5_30298	Low	map00053	Ascorbate and aldarate metabolism	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	349
K18649	5_30298	Low	map00340	Histidine metabolism	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	349
K18649	5_30298	Low	map00562	Inositol phosphate metabolism	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	349
K18649	5_30298	Low	map01100	Metabolic pathways	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	349
K18649	5_30298	Low	map01110	Biosynthesis of secondary metabolites	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	349
K18649	5_30298	Low	map01130	Biosynthesis of antibiotics	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	349
K18649	5_30298	Low	map01230	Biosynthesis of amino acids	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	349
K18649	5_30298	Low	map04070	Phosphatidylinositol signaling system	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	3727	349
K20266	5_30298	Low	map02024	Quorum sensing	trbJ; type IV secretion system protein TrbJ	1828	349
K20527	5_30298	Low	map02024	Quorum sensing	trbB; type IV secretion system protein TrbB [EC:7.4.2.8]	1731	349
K20528	5_30298	Low	map02024	Quorum sensing	trbC; type IV secretion system protein TrbC	1721	349
K20529	5_30298	Low	map02024	Quorum sensing	trbD; type IV secretion system protein TrbD	1698	349
K20530	5_30298	Low	map02024	Quorum sensing	trbE; type IV secretion system protein TrbE [EC:7.4.2.8]	1806	349
K20531	5_30298	Low	map02024	Quorum sensing	trbF; type IV secretion system protein TrbF	1800	349
K20532	5_30298	Low	map02024	Quorum sensing	trbG; type IV secretion system protein TrbG	2241	349
K20533	5_30298	Low	map02024	Quorum sensing	trbI; type IV secretion system protein TrbI	1923	349
K07678	5_30390	Low	map02020	Two-component system	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	5008	317
K07678	5_30390	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	5008	317
K07678	5_30390	Low	map02026	Biofilm formation - Escherichia coli	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	5008	317
K07678	5_30390	Low	map05111	Biofilm formation - Vibrio cholerae	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	5008	317
